,,,RID,smiles
52,,ketone,R325,*CC(*)(CF)C(*)=O
53,,ketone,R330,*C(=O)C(*)*
54,,ketone,R333,*CCC(C(*)=O)C(*)C(*)=O
55,,ketone,R335,*CCCCCC(*)=O
56,,sulfone,R337,*c1ccc(S(=O)(=O)c2ccc(O)cc2)cc1
57,,sulfone,R338,*c1ccc(S(=O)(=O)c2ccc(*)cc2)cc1
58,,sulfone,R339,*c1c(Br)cc(S(=O)(=O)c2cc(Br)c(O)c(Br)c2)cc1Br
59,,sulfone,R340,*c1c(Br)cc(S(=O)(=O)c2cc(Br)c(*)c(Br)c2)cc1Br
60,,ketone,R343,*CC(*)(CCC(C)C(*)=O)C(*)=O
61,,ketone,R346,*CC(*)(CO)C(*)=O
62,,ketone,R402,*C=CC(C(*)=O)C(*)C(*)=O
63,,ketone,R413,*C(=O)CCC(*)*
64,,ketone,R439,*CCCCC(*)=O
65,,ketone,R440,*CCCCCCC(*)=O
66,,ketone,R441,*C(=O)CCCCC(*)=O
67,,ketone,R455,*C(=O)C(*)=O
68,,ketone,R456,*C(=O)CC(*)=O
69,,ketone,R457,*C(=O)C(C)C(*)=O
70,,ketone,R458,*C(=O)C(CCC)C(*)=O
71,,ketone,R459,*C(=O)C(CCCCC)C(*)=O
72,,ketone,R460,*C(=O)C(CCCCCCC)C(*)=O
73,,ketone,R461,*C(=O)CCC(*)=O
74,,ketone,R462,*C(=O)CCCCCCCCCCCCCCCCC(*)=O
75,,sulfone,R467,*c1nc2ccc(S(=O)(=O)c3ccc4nc(*)c(*)nc4c3)cc2nc1*
76,,ketone,R480,*CC(C*)(C(*)=O)C(*)=O
77,,ketone,R497,*C(=O)CC(=*)c1cc(C)ccc1*
78,,ketone,R498,*C(=O)C=*
79,,sulfone,R505,*c1ccc(S(=O)(=O)c2cccc(*)c2)cc1
80,,sulfone,R507,*c1ccc2oc3ccc(S(*)(=O)=O)cc3c2c1
81,,sulfone,R508,*c1ccc(S(=O)(=O)c2ccc3oc4ccc(*)cc4c3c2)cc1
82,,sulfone,R509,*c1ccc(S(*)(=O)=O)cc1
83,,sulfone,R513,*c1ccc(S(=O)(=O)c2ccc3ccc(S(=O)(=O)c4ccc(*)cc4)cc3c2)cc1
84,,ketone,R514,*C(=O)C(*)C
86,,sulfoxide,R517,*c1ccc(S(=O)c2ccc(*)cc2)cc1
87,,sulfone,R526,*C(=O)CCCCS(=O)(=O)CCCCC(*)=O
88,,sulfone,R562,*S(=O)(=O)c1cccc(S(*)(=O)=O)c1
89,,amine,R564,*n1c(=O)c2cc3c(=O)n(*)c(=O)c3cc2c1=O
90,P=O,?,R566,*c1ccc(P(=O)(c2ccccc2)c2ccc(*)cc2)cc1
91,,?,R569,*OS(=O)c1cccc(S(=O)O*)c1
92,,?,R583,*SSC(*)=O
93,,?,R584,*C(=O)SSC(*)=O
96,,amine,R591,*N=P(Cl)(Cl)N=P(Cl)(Cl)N=S(*)Cl
97,,ketone,R593,*C(=O)C(*)O
98,,?,R596,*CCCCCC(=O)S*
99,,ketone,R598,*CCCCCCCCCCCCCCCC(*)=O
100,,ketone,R600,*C(=O)CC(=*)c1ccc(*)cc1
101,,ketone,R611,*C(=O)CCC=*
102,,ketone,R612,*C(=O)CC(*)C
103,,ketone,R613,*C(=O)CC(*)CCl
104,,ketone,R614,*CC(CC)(CC)C(*)=O
105,,ketone,R615,*CC(C)(C)C(*)=O
106,,ketone,R616,*C(=O)CC(*)CC
107,,ketone,R617,*CC(C)(CC)C(*)=O
108,,ketone,R618,*C(=O)CC(*)C(C)C
109,,ketone,R619,*CC(C)C(*)=O
110,,ketone,R620,*CC(C)(CCC)C(*)=O
111,,ketone,R621,*C(=O)CC(*)C(Cl)(Cl)Cl
112,,ketone,R622,*OC(=C)CC(*)=O
113,,ketone,R623,*C(=O)C(C)(C)C(*)*
114,,ketone,R624,*C(=O)CCC(C)CC(*)=O
115,,ketone,R625,*C(=O)C(O)C(O)C(*)=O
119,,sulfone,R629,*c1ccc(S(=O)(=O)CCCCCCS(=O)(=O)c2ccc(*)cc2)cc1
121,,sulfone,R631,*CS(=O)(=O)C*
122,,sulfone,R632,*CS(=O)(=O)CCCC(*)=O
123,,ketone,R633,*C(=O)C(*)(CC)CC
124,,ketone,R634,*C(=O)C(*)(C)C
125,,ketone,R635,*C(=O)C(*)C(C)C
126,,ketone,R636,*CCCC(C)CCC(*)=O
127,,ketone,R637,*CC(CCl)(CCl)C(*)=O
128,,ketone,R638,*CC(CCCC)(CCCC)C(*)=O
129,,ketone,R639,*C(=O)CC(*)C(C)(Cl)Cl
132,,ketone,R648,*CCC(C)CCC(*)=O
133,,ketone,R649,*C(=O)C(C)CCCC(*)C
134,,ketone,R651,*C(=O)CC(CC(*)=O)C(F)(F)C(F)(F)C(F)(F)F
135,,thiolester,R654,*CC(C)(C)CS(=O)(=O)CC(C)(C)C*
136,,ketone,R657,*C(=O)C(*)C(*)C(*)=O
137,,ketone,R659,*OC(=*)C(C)(C)C(*)=O
138,,ketone,R661,*C(=O)C(=*)C#N
140,,ketone,R673,*C(=O)CCC(*)(*)C
141,,ketone,R675,*C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(*)=O
142,,ketone,R676,*C(=O)CCCCC(*)C
143,,ketone,R678,*c1ccc2nc(*)oc(=O)c2c1
144,,ketone,R682,*C(=O)C(F)(F)C(F)(F)C(F)(F)C(*)=O
145,P=O,?,R686,*CCCCP(C)(=O)CCC*
146,P=O,?,R687,*CCCP(C)(=O)CCC*
147,P=O,?,R689,*CCCP(=O)(CCC*)c1ccccc1
148,,ketone,R693,*C(=O)C(=*)C
149,,ketone,R695,*C(=O)CCC1(CCC(*)=O)c2ccccc2-c2ccccc21
150,,ketone,R696,*C(=O)CCP(=S)(CCC(*)=O)c1ccccc1
151,,ketone,R697,*C(=O)CCP(=O)(CCC(*)=O)c1ccccc1
152,,ketone,R699,*C(=O)CC(C)(C)CC(C)C(*)=O
153,,thiolester,R706,*c1cccc(S(*)(=O)=O)c1
154,,ketone,R707,*C(=O)CCC(*)C(*)=O
155,,ketone,R708,*CCCCC(C)CC(*)=O
156,,ketone,R709,*CC(C)CCCCC(*)=O
157,,ketone,R710,*CCCC(C)CC(*)=O
158,,ketone,R711,*C(=O)C(C)C(*)C
159,,ketone,R717,*CCCC(*)C(*)=O
160,,ketone,R718,*C(=O)C(*)CCCCN
161,,ketone,R720,*CCC(*)C(*)=O
162,,ketone,R721,*C(=O)CC(*)C(*)=O
163,,ketone,R733,*CC(*)C(*)C(*)=O
164,,ketone,R735,*C(=O)C(*)C(C)CC
165,,ketone,R736,*C(=O)C(*)CC(C)C
166,,ketone,R737,*CCCCC(*)C(*)=O
167,,ketone,R738,*CC(C)(CCCC)C(*)=O
168,,ketone,R741,*C(=O)CCP(C)(=O)CCC(*)=O
169,,ketone,R742,*CCCCCCCCCCCCCCCCCCCCCC(*)=O
170,,ketone,R744,*C(=O)C(CCCC)C(*)=O
171,,thiolester,R748,*S(*)(=O)=O
172,,ketone,R750,*CCC(C)CCCC(*)=O
173,,thiolester,R751,*c1cc(*)cc(S(=O)(=O)c2ccccc2)c1
174,,thiolester,R753,*c1ccc(S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1
176,,ketone,R755,*c1nc2ccccc2oc1=O
177,imide,amide,R769,*n1c(=O)c2ccc3c(=O)n(*)c(=O)c4ccc(c1=O)c2c34
178,,thioester,R770,*c1cccc(S(=O)(=O)c2cccc(*)c2)c1
179,imide,amide,R773,*n1c(=O)c2cc3c(=O)n(*)c(=O)c3c(Br)c2c1=O
180,imide,amide,R777,*c1nc(*)nc(Nn2c(=O)c3cc4c(=O)n(*)c(=O)c4cc3c2=O)n1
181,,sulfone,R780,*c1cc2c(cc1C)-c1cc(C)c(*)cc1S2(=O)=O
182,error it is sulfone,sulfone,R783,*C(=O)CS(=O)(=O)CCS(=O)(=O)CC(*)=O
183,,sulfone,R784,*C(=O)CCS(=O)(=O)CCS(=O)(=O)CCC(*)=O
184,,sulfone,R785,*C(=O)CCS(=O)(=O)CCC(*)=O
185,,sulfone,R787,*CS(=O)(=O)CC(*)=O
186,,sulfone,R788,*CS(=O)(=O)CCC(*)=O
190,,thioester,R806,*C(=O)SN1CCC(*)CC1
191,,ketone,R809,*C(=O)C(C)C
192,,ketone,R810,*C(=O)CC(C)C
193,,ketone,R811,*C(=O)CCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
194,,sulfone,R812,*CCS(=O)(=O)CC*
195,,ketone,R813,*C(=O)C(Cl)Cl
196,,ketone,R814,*C(=O)C(Cl)(Cl)Cl
197,,sulfone,R815,*c1cnc2ccc(S(=O)(=O)c3ccc4ncc(*)nc4c3)cc2n1
198,,ketone,R817,*c1cnc2cc(S(=O)(=O)c3ccc4nc(*)cnc4c3)ccc2n1
199,,sulfone,R819,*c1ccc2[nH]c(S(=O)(=O)c3nc4ccc(*)cc4[nH]3)nc2c1
200,P,amine,R831,*N=P(*)(OC)OC
201,P,amine,R832,*N=P(*)(O*)O*
202,P,amine,R833,*N=P(*)(NCC)NCC
203,P,amine,R834,*N=P(*)(N(C)C)N(C)C
204,P,amine,R835,*N=P(*)(N1CCCCC1)N1CCCCC1
205,P,amine,R836,*N=P(*)(Nc1ccccc1)Nc1ccccc1
206,P,amine,R837,*N=P(*)(Cl)Cl
207,P,amine,R838,*N=P(*)(F)F
208,P,amine,R839,*N=P(*)(C)C
209,P,amine,R840,*N=P1(*)Oc2ccccc2-c2ccccc2O1
210,S ,ester,R841,*OS(=O)(=O)c1cccc(*)c1
211,S ,ester,R842,*OS(=O)(=O)c1cccc(S(=O)(=O)O*)c1
212,,sulfone,R843,*CCCCCCS(*)(=O)=O
213,,sulfone,R844,*CCCCCCS(=O)(=O)CCCCCS(*)(=O)=O
214,,sulfone,R845,*CCCCCCS(=O)(=O)CCCCS(*)(=O)=O
215,,sulfone,R846,*CCCCCS(*)(=O)=O
216,,sulfone,R847,*CCCCCS(=O)(=O)CCCCS(*)(=O)=O
217,,sulfone,R848,*C1CCCCC1S(*)(=O)=O
218,,sulfone,R849,*C1CCCC(S(*)(=O)=O)C1
219,,sulfone,R850,*CC(*)S(*)(=O)=O
220,,sulfone,R851,*CCCCS(*)(=O)=O
221,,sulfone,R852,*CCCS(*)(=O)=O
222,,sulfone,R853,*CC(C)(C)CS(*)(=O)=O
223,,sulfone,R854,*CC(C)S(*)(=O)=O
224,,ketone,R855,*CC(C)(CC)CS(*)(=O)=O
225,,ketone,R856,*CS(=O)(=O)C1CCC(*)S(=O)(=O)C1
227,,ketone,R901,*C(=O)C(*)(C#N)C(*)*
228,,ketone,R902,*CC(*)C(*)C(*)(C#N)C(*)=O
229,,acid,R941,*c1c(F)c(F)c(P(=O)(O)O)c(F)c1F
230,NP=O,?,R942,*CC(*)P(=O)(N(C)C)N(C)C
234,,ketone,R951,*C=CC(C(*)=O)C(*)*
235,P=S,?,R975,*CC(*)P(=S)(c1ccccc1)c1ccccc1
238,,sulfoxide,R986,*CC(*)S(C)=O
239,,ketone,R995,*C=CCC(C*)(C(*)=O)C(*)=O
240,,ketone,R996,*C(=O)C(CC)(CC)CC
241,,ketone,R997,*C(=O)C(CCC)(CCC)CCC
242,,ketone,R998,*C(=O)C(CCCC)(CCCC)CCCC
243,,sulfoxide,R1009,*CC(*)S(=O)c1ccc(F)cc1
244,,sulfoxide,R1010,*CC(*)S(=O)c1ccc(Cl)cc1
245,,sulfoxide,R1011,*CC(*)S(=O)c1ccc(*)cc1
246,,ketone,R1019,*C=CC1C=CC(*)C(C(*)=O)=C1C(*)=O
247,,sulfoxide,R1026,*CC(*)S(=O)c1ccccc1
248,,sulfone,R1027,*CC(*)S(=O)(=O)c1ccccc1
249,,ketone,R1048,*C=C(*)C(*)=O
250,,sulfone,R1055,*C=C(*)c1ccc(S(=O)(=O)c2ccccc2)cc1
251,,ketone,R1061,*CC(C)(C=*)C(*)=O
252,,ketone,R1062,*C=CC(C)(C(*)=O)C(*)C
253,,acid,R1063,*CC(*)P(=O)(O)O
254,,sulfone,R1082,*CS(*)(=O)=O
255,,sulfone,R1084,*S(=O)(=O)CCCCCCCC
256,,ketone,R1087,*c1ccc2ccc(=O)oc2c1
257,,ketone,R1095,*C(=O)CCC#N
259,,sulfone,R1105,*S(=O)(=O)CC
260,,sulfone,R1106,*S(=O)(=O)CCC
261,,sulfone,R1107,*S(=O)(=O)CCCC
262,,sulfone,R1108,*S(=O)(=O)c1ccccc1
263,,sulfone,R1109,*S(=O)(=O)c1ccc(C)cc1
264,,sulfone,R1110,*S(=O)(=O)c1cccc2ccccc12
266,,ketone,R1115,*CC(*)C(C(*)=O)C(*)C(*)=O
267,,ketone,R1116,*CC(*)C(C)(C(*)=O)C(*)(C)C(*)=O
270,,ketone,R1128,*C(=O)C(*)C(*)C
271,,ketone,R1132,*CC(*)C(C#N)(C#N)C(*)(C#N)C(*)=O
272,,sulfone,R1134,*C(C)(C)CS(N)(=O)=O
273,,sulfone,R1138,*c1ccc(N=Nc2ccc(S(C)(=O)=O)cc2)cc1
274,,ketone,R1164,*CC(*)(CCCCC)C(*)=O
275,,acid,R1165,*NCP(=O)(O)O
277,,acid,R1171,*CP(=O)(O*)O*
278,,ketone,R1178,*CCC(C)C(*)(C)C(*)=O
279,,ketone,R1179,*CC(C)CC(*)(C)C(*)=O
280,,ketone,R1183,*c1ccc2oc(=O)ccc2c1
281,,sulfone,R1186,*c1ccc(N=Nc2ccc(S(*)(=O)=O)cc2)cc1
282,,sulfone,R1189,*S(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
283,,ketone,R1197,*CC(*)(C(*)=O)C(F)(F)F
284,,sulfone,R1201,*CCS(=O)(=O)c1ccc(N=Nc2ccc(*)cc2)cc1
285,,ketone,R1203,*CC(*)(CCC)C(*)=O
286,,ketone,R1204,*CC(*)(CCCCCCCC)C(*)=O
287,,amide,R1215,*n1ccc(=O)[nH]c1=O
288,,sulfone,R1219,*=C(C#N)S(C)(=O)=O
289,,amide,R1226,*n1c(=O)c2ccc3c4ccc5c(=O)n(*)c(=O)c6ccc(c7ccc(c1=O)c2c37)c4c56
290,,ketone,R1238,*c1ccc2c(C)cc(=O)oc2c1
291,,sulfone,R1284,*c1cnc2cc(S(=O)(=O)c3ccc4ncc(*)nc4c3)ccc2n1
292,,sulfone,R1293,*c1ccc(S(=O)(=O)c2ccc(*)c(C)c2)cc1C
293,,sulfone,R1294,*c1c(C)cc(S(=O)(=O)c2cc(C)c(*)c(C)c2)cc1C
294,,ketone,R1296,*C(=O)CC(*)*
295,,ketone,R1312,*C(=O)C1=COC=C(*)O1
296,,ketone,R1317,*OP(=O)(O*)O*
297,OP=O,?,R1321,*c1ccc2c(c1)-c1cc(*)ccc1S2(=O)=O
298,,sulfone,R1322,*c1ccc2nc3c4cccc5c(*)ccc(c(=O)n3c2c1)c54
299,,amide,R1323,*c1ccc2c(c1)nc1c3ccc(*)c4cccc(c(=O)n21)c43
303,,sulfone,R1370,*CC(*)CS(C)(=O)=O
304,,sulfone,R1371,*CC(*)CS(=O)(=O)CC
305,,sulfone,R1372,*CC(*)CS(=O)(=O)CCC
306,,sulfone,R1373,*CC(*)CS(=O)(=O)C(C)C
307,,sulfone,R1374,*CC(*)CS(=O)(=O)CCCC
308,,sulfone,R1375,*CC(*)CS(=O)(=O)CCCCC
309,,sulfone,R1379,*CC(C*)(CS(C)(=O)=O)CS(C)(=O)=O
310,,sulfone,R1380,*CC(C*)(CS(=O)(=O)CC)CS(=O)(=O)CC
311,,sulfone,R1381,*CC(C*)(CS(=O)(=O)C(C)C)CS(=O)(=O)C(C)C
312,,sulfone,R1382,*CC(C*)(CS(=O)(=O)CCC)CS(=O)(=O)CCC
313,,sulfone,R1383,*CC(C*)(CS(=O)(=O)CCCC)CS(=O)(=O)CCCC
314,,sulfone,R1384,*CC(C*)(CS(=O)(=O)CCCCC)CS(=O)(=O)CCCCC
315,,sulfone,R1394,*c1ccc(S(=O)(=O)c2ccc(*)cc2N)c(N)c1
316,,sulfone,R1395,*c1ccc(S(=O)(=O)c2ccc(*)cc2N)cc1
317,P=O,?,R1396,*c1ccc(P(C)(=O)c2ccc(*)cc2)cc1
318,,sulfone,R1403,*c1ccc(S(C)(=O)=O)cc1
319,,sulfone,R1431,*c1ccc(S(=O)(=O)c2ccccc2*)cc1
320,,sulfone,R1432,*c1ccc(S(=O)(=O)c2ccc(*)c3ccccc23)cc1
321,,sulfone,R1436,*c1ccc(S(=O)(=O)c2cccc3c(S(=O)(=O)c4ccc(*)cc4)cccc23)cc1
322,,sulfone,R1437,*c1ccc(S(=O)(=O)c2ccc3cc(S(=O)(=O)c4ccc(*)cc4)ccc3c2)cc1
324,,sulfone,R1444,*c1ccc(*)c(S(=O)(=O)c2ccccc2)c1
325,OP=O,?,R1449,*OP(=O)(O*)c1ccccc1
326,OP=O,?,R1452,*OP(=O)(N=Nc1ccc(*)cc1)O*
327,OP=O,?,R1453,*OP(=O)(N=Nc1ccc(*)cc1)OC
328,,ketone,R1470,*NC=CC(*)=O
329,,amide,R1475,*c1ccc2c(*)nn(*)c(=O)c2c1
330,,amide,R1476,*c1ccc2c(=O)n(*)nc(*)c2c1
331,,amide,R1477,*c1nn(*)c(=O)c2ccccc12
332,,ketone,R1480,*c1ccc2c(*)c3ccc(=O)cc-3oc2c1
334,,ketone,R1515,*C(=O)C(=C)C
335,,acid,R1517,*OP(=O)(O)O*
336,STOP,ketone,R1534,*C(=O)C(CCCCCBr)C(*)=O
337,OP=O,?,R1536,*OP(=O)(CCCCC(C(*)=O)C(*)=O)O*
338,,acid,R1537,*C(=O)C(CCCCP(=O)(O)O)C(*)=O
339,,ketone,R1538,*OP(=O)(CCCCCC(C(*)=O)C(*)=O)O*
340,,acid,R1539,*C(=O)C(CCCCCP(=O)(O)O)C(*)=O
341,,ketone,R1540,*OP(=O)(CCCCCCC(C(*)=O)C(*)=O)O*
342,,acid,R1541,*C(=O)C(CCCCCCP(=O)(O)O)C(*)=O
343,,ketone,R1542,*OP(=O)(CCCCCCCCCCC(C(*)=O)C(*)=O)O*
344,,ketone,R1543,*C(=O)C(*)C(*)=O
346,,ketone,R1545,*C1=CC=C(c2sc(*)c3c2OCCO3)S1(=O)=O
347,,ketone,R1546,*C1=C(CCCCCC)C(CCCCCC)=C(c2sc(*)c3c2OCCO3)S1(=O)=O
348,,ketone,R1547,*C1=C(CCCCCCCCCCCC)C(CCCCCCCCCCCC)=C(c2sc(*)c3c2OCCO3)S1(=O)=O
349,,ketone,R1548,*C1=C2OCCOC2=C(c2ccc(*)s2)S1(=O)=O
350,,ketone,R1549,*C1=C2OCCOC2=C(c2sc(*)c3c2OCCO3)S1(=O)=O
351,,ketone,R1550,*C(*)(P1(=O)Oc2ccccc2-c2ccccc21)P1(=O)Oc2ccccc2-c2ccccc21
352,,ketone,R1554,*N=P1(*)Oc2ccc3ccccc3c2-c2c(ccc3ccccc23)O1
354,,ketone,R1559,*c1ccc(S(=O)(=O)c2ccc(*)c(Br)c2)cc1Br
356,,ketone,R1576,*c1c(F)c(F)c(S(=O)(=O)c2c(F)c(F)c(*)c(F)c2F)c(F)c1F
357,,ketone,R1579,*c1nc2ccc(S(=O)(=O)c3ccc4nc(*)[nH]c4c3)cc2[nH]1
358,,ketone,R1580,*c1nc2ccc(S(=O)(=O)c3ccc4nc(*)n(*)c4c3)cc2n1*
361,,ketone,R1591,*OP(=O)(O*)OC
362,,ketone,R1592,*C(=O)CNNCC(*)=O
363,,ketone,R1594,*c1ccc(S(=O)(=O)c2ccc(*)cc2*)c(*)c1
364,,ketone,R1604,*c1cc2cc(*)c(=O)oc2cc1*
365,,ketone,R1605,*c1nc2cc(S(=O)(=O)c3ccc4oc(*)nc4c3)ccc2o1
366,,ketone,R1607,*c1ccc2oc(=O)c(*)cc2c1
367,,ketone,R1616,*c1cccc(P(=O)(c2ccccc2)c2cccc(*)c2)c1
368,,ketone,R1634,*c1ccc(S(*)=O)cc1
369,,ketone,R1644,*N=P(N=P(N=S(*)O*)(O*)O*)(O*)O*
370,,ketone,R1645,*N=P(Cl)(N=P(Cl)(N=S(*)O*)O*)O*
371,,ketone,R1646,*N=P(Cl)(N=P(N=S(*)O*)(O*)O*)O*
374,,ketone,R1687,*C=C(C#N)C(*)=O
375,,ketone,R1690,*=C(C#N)S(=O)(=O)C(=*)C#N
377,,ketone,R1722,*C(=O)C(C)Br
378,,ketone,R1740,*C(=O)C(C)(C)C(*)=O
380,,ketone,R1745,*C(=O)CC(C)(C)CC(*)=O
381,,ketone,R1746,*C(=O)CC(C)C(*)=O
382,,ketone,R1747,*C(=O)CC(*)C(C)(C)C
383,,ketone,R1753,*C(=O)CC(*)(C)C(F)(F)F
384,,ketone,R1754,*C(=O)CC(*)C=C
385,,ketone,R1756,*CC(*)CC(*)=O
386,,ketone,R1757,*CCC(*)CC(*)=O
387,,ketone,R1758,*C(=O)CC(*)CCCCCCC=C
388,,ketone,R1759,*C(=O)CC(*)CCCCC
389,,ketone,R1763,*CCCS(=O)(=O)CCCCS(=O)(=O)CCC*
390,,ketone,R1764,*CCCS(=O)(=O)CCCS(=O)(=O)CCC*
391,,ketone,R1765,*CCC(C)CC(*)=O
394,,ketone,R1769,*CCCCCCS(=O)(=O)c1ccc(N=Nc2ccc(*)cc2)cc1
395,,ketone,R1770,*CCCS(=O)(=O)c1ccc(N=Nc2ccc(*)cc2)cc1
396,,ketone,R1773,*SC(*)=S
397,,ketone,R1774,*C(=O)CC=*
402,,ketone,R1792,*C(=O)CC(N)C(*)=O
403,,ketone,R1798,*C(=O)CCC(C)C(*)=O
404,,ketone,R1799,*C(=O)CCC(C)(C)C(*)=O
405,,ketone,R1801,*c1ccc(S(=O)(=O)CCCCCCCC)cc1
406,,ketone,R1802,*C(=O)C(*)CC
407,,ketone,R1803,*C(=O)C1=C(C(*)=O)C2C=CC1C2
408,,ketone,R1804,*C(=O)C1=C(c2ccccc2)C2C=CC1C2
409,,ketone,R1805,*C(=O)CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(*)=O
410,,ketone,R1807,*C(=O)CCC#CC#CCCC(*)=O
411,,ketone,R1809,*C(=O)C1=CCCCC(N2CCCC2)=C1C(*)=O
412,,ketone,R1812,*C(=O)CC(*)CC(*)=O
413,,ketone,R1823,*C(=O)C(C)C(C)C(*)=O
414,,ketone,R1824,*C(=O)C(CC)C(CC)C(*)=O
415,,ketone,R1834,*C(=O)CCCCCC(C)CC(*)=O
416,,ketone,R1835,*C(=O)CC(*)(C)CCC
417,,ketone,R1839,*C(=O)CCC(*)(C)C
418,,ketone,R1840,*C(=O)C(C)(C)C(*)C
419,,ketone,R1848,*c1ccc2c(c1)[nH]c(=O)c1cc(*)ccc12
420,,ketone,R1866,*C(=O)CCP(CCC(*)=O)c1ccccc1
421,,ketone,R1869,*C(=O)C(C)(C)C(*)C(C)C
422,,ketone,R1870,*C(=O)C(C)(C)C(*)(C)C
423,,ketone,R1871,*C(=O)C(O)C(O)C(O)C(O)C(*)=O
424,,ketone,R1873,*c1ccc2c(c1)nc1c3cc4c(=O)n5c6cc(*)ccc6nc5c4cc3c(=O)n21
425,,ketone,R1874,*CCCCC(Cl)(Cl)C(*)=O
428,,ketone,R1888,*C(=O)CCCCCCCC(CCCCCCC)C(*)=O
429,,ketone,R1889,*C(=O)C(*)CO
430,,ketone,R1893,*c1nn(*)c(=O)c2cc(S(=O)(=O)c3ccc4c(*)nn(*)c(=O)c4c3)ccc12
431,,ketone,R1895,*c1nn(*)c(=O)c2cc3c(*)nn(*)c(=O)c3cc12
432,,ketone,R1899,*C(=O)C(*)(C)CC
433,,ketone,R1902,*C(=O)C(CC)CC(CC)C(*)=O
434,,ketone,R1903,*C(=O)C(*)(F)F
435,,ketone,R1904,*CCCCC(N)C(*)=O
437,,ketone,R1906,*C(=S)C=*
438,,ketone,R1912,*c1ccc(N=Nc2ccc(P(=O)(c3ccccc3)c3ccccc3)cc2)cc1
441,,ketone,R1918,*c1c(*)c(=O)c1=O
444,,ketone,R1950,*c1c2c(=O)n(*)c(=O)c2c(*)c2c(=O)n(*)c(=O)c12
